단지명,시군,고속도로접근성점수,철도접근성점수,공항접근성점수,항만접근성점수,종합접근성점수_바이오/제약,종합접근성점수_IT/소프트웨어,종합접근성점수_반도체/전자,종합접근성점수_자동차부품,종합접근성점수_기계/정밀,종합접근성점수_철강/금속,종합접근성점수_시멘트/건자재
오송생명과학,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
제천,제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
제천제2,제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
청주[재생사업지구:부분],청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
중원,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주DH,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
만정,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주제1,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주제3,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주제4,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주첨단,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
괴산첨단,괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
대풍,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
맹동,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
원남,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
육령,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
음성이테크,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
음성하이텍,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
중부,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
증평,증평군,54.88700955479928,100.0,100.0,53.68164181959074,80.20996392670465,82.79428772102486,76.7984728527849,76.05752717148617,76.42425467299111,75.30891596237177,73.4748563302295
증평2,증평군,54.88700955479928,100.0,100.0,53.68164181959074,80.20996392670465,82.79428772102486,76.7984728527849,76.05752717148617,76.42425467299111,75.30891596237177,73.4748563302295
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
초평은암,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
문백정밀기계,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
단양(구 단양신소재),단양군,50.14870664477176,92.64666345407694,5.732322903186148,21.07851896381893,42.34254246858689,41.06377462198918,40.68585039888326,46.58290391240817,44.05330537626195,47.6095632114986,48.78481893603966
문백금성,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
대신,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
덕유,증평군,54.88700955479928,100.0,100.0,53.68164181959074,80.20996392670465,82.79428772102486,76.7984728527849,76.05752717148617,76.42425467299111,75.30891596237177,73.4748563302295
생극,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
죽현,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
KGC예본(구 KT&G),충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
괴산대제(건축자재),괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
오선,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
오창과학 (① + ②),청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
오창과학 ①,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
오창(외국인) ②,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
오창제2,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
옥산,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
유촌,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
강내,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
산수 (① + ②),진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
산수 ①,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
산수(산수중소협력외국인) ②,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
보은동부,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
오송제2생명과학,청주시 흥덕구,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
충주제5,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
제천제3,제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
옥천테크노밸리(구:옥천제2의료기기),옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
성본,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
에스폼,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
케이푸드밸리(구 송두),진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
충청북도수산식품,괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
화석,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
신척(구 진천),진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
오창제3(구 성재),청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
충주메가폴리스,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
청주도시첨단문화,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
충북진천·음성혁신도시 도시첨단,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
강저테크노빌(구 강저),제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
고암테크노빌(구 고암),제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
금성테크노빌(구 금성),제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
송학테크노빌(구 송학),제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
양화테크노빌(구 양화),제천시,77.05113946368965,96.73525386699686,45.3698494392274,28.23723963149422,63.03306966412714,63.52513743583974,61.2541104755549,65.1013012163444,63.16725676413339,64.01201369287531,65.29351755911722
중앙탑(구 가금),충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
가주,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
용탄,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
주덕,충주시,54.51651835134852,93.00942051398066,32.53828065240204,40.36947752617236,55.35841278666459,54.67006150975338,53.77151798654086,57.67359888946201,56.06467148746499,58.59486802194177,58.97694808211968
괴산,괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
사리,괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
대강,단양군,50.14870664477176,92.64666345407694,5.732322903186148,21.07851896381893,42.34254246858689,41.06377462198918,40.68585039888326,46.58290391240817,44.05330537626195,47.6095632114986,48.78481893603966
매포자원순환,단양군,50.14870664477176,92.64666345407694,5.732322903186148,21.07851896381893,42.34254246858689,41.06377462198918,40.68585039888326,46.58290391240817,44.05330537626195,47.6095632114986,48.78481893603966
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
보은,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
삼승,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
장안,보은군,82.77057853692045,0.0,61.4087958368856,40.59150650414929,45.85407504384364,46.88200217692577,48.57018987169749,45.82060745516861,46.38218668397234,42.36610050848048,44.41882208817921
법화,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
영동,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
용산,영동군,14.30693677558049,99.7309927013597,3.635460786491324,29.87961588147013,36.99977804690612,35.3967513419075,34.11823642216363,39.58839163380396,37.70974996192829,42.82519910264282,42.00043263931333
구일,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
동이,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
옥천,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
이원,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
청산,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
금왕,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
삼성,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
음성,음성군,48.83122379245722,92.44758326836433,65.33727564703364,50.70391976837062,65.78860773758807,66.55246125862624,63.42364210720642,64.66349390734453,64.26730310241342,65.14042817586103,64.13733213106154
도안테크노밸리(구:도안농공),증평군,54.88700955479928,100.0,100.0,53.68164181959074,80.20996392670465,82.79428772102486,76.7984728527849,76.05752717148617,76.42425467299111,75.30891596237177,73.4748563302295
증평테크노밸리(구:증평농공),증평군,54.88700955479928,100.0,100.0,53.68164181959074,80.20996392670465,82.79428772102486,76.7984728527849,76.05752717148617,76.42425467299111,75.30891596237177,73.4748563302295
광혜원,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
덕산,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
문백전기전자,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
이월전기전자,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
진천,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
초평,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
적성,단양군,50.14870664477176,92.64666345407694,5.732322903186148,21.07851896381893,42.34254246858689,41.06377462198918,40.68585039888326,46.58290391240817,44.05330537626195,47.6095632114986,48.78481893603966
내수,청주시 청원구,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
현도,청주시,61.5974046743073,74.4060735305232,100.0,53.87404234836076,74.98915583515004,77.58200423218676,72.96748482723747,70.94906765628649,71.70586598672591,69.34931165300557,68.15352794005466
광혜원제2,진천군,77.9360105152519,39.91066536227376,89.91095796753454,61.07851896381892,68.01690439985593,69.63995838393515,68.70358037676961,65.82557805798471,66.74861323481338,63.55240843097329,63.81933326509535
괴산발효식품,괴산군,0.0,45.06193711061768,69.54153962479482,45.40664770830857,41.96030799193154,43.68697271860788,39.59004775864742,36.65974548023538,38.31729458292966,37.60177555713076,34.50580961339875
옥천의료기기,옥천군,100.0,97.5725701271428,37.61777467094967,36.36564256204898,67.91114628093278,67.39016681178178,67.47623475582347,72.44698334559851,69.89184848158573,71.18473246416018,73.7978126324355
